draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta1.1,beta1.2,beta1.3,beta1.4,beta1.5,beta1.6,beta1.7,beta1.8,beta1.9,beta1.10,beta1.11,beta1.12,alpha,noise_var
1761,218.08301088531618,0.9788202426059064,0.052221017393700386,5.0,31.0,0.0,-211.0013443752593,0.479839015853484,0.4773744729951546,0.6367443419081504,0.6149385718415196,0.5401436805127007,0.46176514973562793,0.3941999810768491,0.5450787261851366,0.5167531464051074,0.6246308672550898,0.5675035422211266,0.560575795432986,0.45762130046099075,0.017694752721005312
1762,213.8788498837141,0.7862357065328277,0.20985579023658457,3.0,15.0,0.0,-208.24364155798284,0.3806728970825749,0.3800138539226011,0.5245078575166522,0.4308615508936895,0.4011805550821641,0.24923004230352994,0.2986561476753433,0.39652278017331033,0.3574720491301909,0.5799144095336244,0.4118976314882393,0.4146048457709405,0.5924732035282787,0.01351388558925713
1763,217.72048786931558,0.9449703564075596,0.09639360725096661,4.0,15.0,0.0,-211.10090751303474,0.46547989289009667,0.47668827584744994,0.5887454031735244,0.5084977261238653,0.5990360057101473,0.4045745098325775,0.35316929995115603,0.45726656447587055,0.5525716124127849,0.6386315005957912,0.46578325895837375,0.4541330251265978,0.5013003712770208,0.01472338502067998
1764,219.72188936242873,0.1254732237554561,0.11776663328442276,2.0,7.0,0.0,-207.8246353669753,0.4251698956171499,0.41700093748012534,0.6450046250143939,0.5766876979768685,0.5476148675159156,0.37630255335226975,0.38913181622468,0.5245214581620492,0.5099850870828984,0.6305701784237793,0.5617722127571325,0.4969157527926293,0.5006551571894337,0.01631890617282187
1765,216.91124642802237,0.9437454261369043,0.052221017393700386,5.0,31.0,0.0,-208.65748957813287,0.4455609860061125,0.46580483018109586,0.6225946655622842,0.523809179211436,0.6306389447203713,0.3938235301948704,0.3264021215680929,0.46394128451142935,0.4862651632062069,0.6617395158017872,0.4919371388306408,0.6030558853204323,0.47617557511973985,0.017109301021936658
1766,213.8788498837141,0.4107146334998922,0.20985579023658457,4.0,15.0,0.0,-201.48593463895102,0.3806728970825749,0.3800138539226011,0.5245078575166522,0.4308615508936895,0.4011805550821641,0.24923004230352994,0.2986561476753433,0.39652278017331033,0.3574720491301909,0.5799144095336244,0.4118976314882393,0.4146048457709405,0.5924732035282787,0.01351388558925713
1767,217.10785650627068,0.7482852343079089,0.09639360725096661,4.0,15.0,0.0,-212.81383116446025,0.4074112966844043,0.40295497221680027,0.6518605802450808,0.5738637688369977,0.5401366862266275,0.33551193929545653,0.38679339236600513,0.5167845188056702,0.44363084609778214,0.61140108041749,0.5136483461476451,0.5756798088071441,0.5152780955639976,0.013808749429991229
1768,217.66584046360614,0.2750230832874656,0.11776663328442276,3.0,11.0,0.0,-214.18145612523185,0.40407965086635395,0.44099804471018905,0.6112880653439178,0.5635551791242754,0.5350661846371753,0.32937486025041307,0.35788437411364554,0.5487412973579302,0.4987359394398725,0.6326221990649257,0.5538587512850818,0.4944640946726848,0.49607849268835386,0.01666054639591833
1769,219.07331307871212,0.9554207620263484,0.052221017393700386,5.0,31.0,0.0,-213.47133394235905,0.4395094030868981,0.461638456250479,0.671898149225141,0.5685700655368101,0.5804971308599605,0.42572602891373623,0.3575972863240135,0.5099170789957879,0.5078663894467373,0.6264352028064378,0.4717045948191907,0.4970632088662658,0.4753549995017615,0.018597432963139322
1770,216.16991081927665,1.0,0.20985579023658457,3.0,7.0,0.0,-209.24862137831815,0.32798049552898434,0.3250010520257216,0.5997429690138558,0.48314382425188807,0.4548990827815133,0.24339897640268873,0.26391051072558214,0.3921554216845586,0.39071256390209536,0.49974831749680976,0.35650218547380436,0.4084801514660788,0.6053291403959808,0.013410247992852557
